setting_id,owner,language,sound_effects,background_music,auto_pass_priority,animation_speed
1,1,한국어,True,True,False,느림
2,2,한국어,True,True,True,느림
3,3,일본어,True,False,False,느림
4,4,영어,True,False,False,빠름
5,5,한국어,True,True,False,보통
6,6,영어,True,False,False,빠름
7,7,중국어,True,True,False,보통
8,8,일본어,False,True,True,느림
9,9,중국어,True,True,True,보통
10,10,한국어,True,False,False,빠름
11,11,한국어,True,True,False,느림
12,12,중국어,True,True,True,느림
13,13,한국어,True,True,True,느림
14,14,한국어,True,True,True,빠름
15,15,중국어,True,True,True,빠름
16,16,영어,True,True,False,보통
17,17,한국어,True,False,False,느림
18,18,한국어,True,True,False,빠름
19,19,중국어,True,True,True,느림
20,20,한국어,True,True,True,빠름
21,21,일본어,False,True,False,보통
22,22,영어,False,False,False,느림
23,23,영어,True,True,False,빠름
24,24,중국어,True,True,False,느림
25,25,한국어,False,True,False,빠름
26,26,한국어,False,True,False,빠름
27,27,영어,True,True,False,빠름
28,28,한국어,False,True,False,느림
29,29,일본어,False,True,False,보통
30,30,영어,False,True,True,보통
31,31,한국어,False,True,True,느림
32,32,중국어,True,False,False,느림
33,33,한국어,True,False,True,보통
34,34,일본어,True,True,False,빠름
35,35,중국어,False,True,True,빠름
36,36,중국어,True,True,True,보통
37,37,한국어,False,False,False,빠름
38,38,영어,True,True,True,느림
39,39,영어,True,True,True,느림
40,40,중국어,True,True,True,느림
41,41,한국어,True,True,False,빠름
42,42,중국어,True,False,True,빠름
43,43,한국어,True,True,False,느림
44,44,중국어,True,True,False,느림
45,45,영어,True,True,False,느림
46,46,일본어,True,False,False,느림
47,47,영어,False,True,True,빠름
48,48,영어,False,True,False,보통
49,49,중국어,True,False,False,느림
50,50,한국어,False,True,False,보통
51,51,영어,True,True,True,느림
52,52,한국어,False,False,False,빠름
53,53,일본어,True,True,False,느림
54,54,중국어,True,True,False,느림
55,55,일본어,True,True,False,빠름
56,56,일본어,True,True,False,빠름
57,57,중국어,True,True,False,느림
58,58,영어,False,False,True,느림
59,59,영어,True,False,False,빠름
60,60,한국어,True,True,True,보통
61,61,일본어,True,True,False,느림
62,62,일본어,True,True,False,느림
63,63,중국어,True,False,False,보통
64,64,중국어,True,False,False,보통
65,65,중국어,True,False,False,느림
66,66,중국어,True,False,False,느림
67,67,영어,True,True,False,보통
68,68,영어,False,True,True,느림
69,69,한국어,True,True,False,보통
70,70,영어,True,True,False,느림
71,71,일본어,True,True,True,빠름
72,72,영어,True,True,False,빠름
73,73,중국어,False,True,False,보통
74,74,일본어,False,True,True,느림
75,75,영어,True,True,True,빠름
76,76,영어,False,False,True,보통
77,77,중국어,True,False,True,보통
78,78,영어,False,True,False,빠름
79,79,영어,True,True,False,빠름
80,80,한국어,True,True,False,느림
81,81,일본어,True,False,False,빠름
82,82,한국어,False,True,True,느림
83,83,중국어,False,True,False,보통
84,84,한국어,True,True,False,보통
85,85,한국어,True,False,False,보통
86,86,중국어,True,True,False,느림
87,87,영어,True,True,False,느림
88,88,한국어,True,False,False,보통
89,89,영어,False,False,True,빠름
90,90,한국어,True,True,False,보통
91,91,영어,True,True,False,느림
92,92,일본어,True,True,False,보통
93,93,중국어,True,True,True,빠름
94,94,영어,True,True,False,빠름
95,95,한국어,True,False,False,보통
96,96,영어,True,True,False,느림
97,97,영어,True,False,False,느림
98,98,한국어,True,True,True,느림
99,99,중국어,True,True,True,빠름
100,100,한국어,True,True,False,보통
101,101,일본어,True,True,False,빠름
102,102,중국어,False,True,False,보통
103,103,영어,True,True,False,보통
104,104,한국어,True,True,True,빠름
105,105,중국어,True,False,False,느림
106,106,일본어,True,False,True,빠름
107,107,영어,True,True,True,보통
108,108,중국어,True,True,False,느림
109,109,영어,True,True,True,빠름
110,110,영어,False,True,True,보통
111,111,일본어,True,True,True,느림
112,112,영어,True,True,False,빠름
113,113,한국어,True,True,True,빠름
114,114,중국어,True,False,False,느림
115,115,중국어,True,True,True,빠름
116,116,영어,False,True,True,보통
117,117,영어,True,True,True,보통
118,118,한국어,True,True,True,느림
119,119,일본어,True,False,False,빠름
120,120,영어,False,False,False,보통
121,121,중국어,True,True,True,빠름
122,122,중국어,True,True,False,빠름
123,123,한국어,True,True,True,보통
124,124,일본어,True,True,False,빠름
125,125,중국어,True,True,True,보통
126,126,한국어,True,True,False,느림
127,127,영어,True,True,True,느림
128,128,중국어,True,True,False,보통
129,129,중국어,False,True,False,느림
130,130,중국어,True,False,False,빠름
131,131,영어,True,True,False,보통
132,132,일본어,True,True,False,느림
133,133,중국어,False,True,True,보통
134,134,중국어,True,True,True,보통
135,135,중국어,True,True,False,빠름
136,136,영어,True,False,False,느림
137,137,중국어,True,True,True,빠름
138,138,중국어,False,False,False,보통
139,139,중국어,True,False,False,보통
140,140,중국어,True,True,False,보통
141,141,한국어,False,True,False,보통
142,142,영어,True,False,True,보통
143,143,한국어,True,True,False,빠름
144,144,한국어,True,True,False,보통
145,145,일본어,True,False,True,빠름
146,146,한국어,True,True,True,보통
147,147,일본어,True,False,True,보통
148,148,중국어,False,True,False,느림
149,149,중국어,True,False,False,느림
150,150,한국어,False,False,True,빠름
151,151,중국어,True,False,False,느림
152,152,일본어,True,False,False,느림
153,153,중국어,True,True,True,빠름
154,154,한국어,True,True,True,빠름
155,155,한국어,True,True,True,빠름
156,156,영어,True,True,False,빠름
157,157,영어,True,True,True,느림
158,158,한국어,True,True,False,보통
159,159,한국어,True,True,True,느림
160,160,일본어,True,False,False,보통
161,161,한국어,True,False,False,빠름
162,162,일본어,True,True,True,느림
163,163,한국어,True,True,False,보통
164,164,중국어,True,True,False,보통
165,165,영어,True,True,True,느림
166,166,한국어,True,False,True,빠름
167,167,일본어,True,True,False,보통
168,168,영어,False,False,False,빠름
169,169,한국어,True,True,True,느림
170,170,한국어,False,True,False,빠름
171,171,한국어,True,False,False,빠름
172,172,일본어,True,True,False,보통
173,173,일본어,True,True,True,보통
174,174,중국어,True,False,True,느림
175,175,영어,False,False,False,빠름
176,176,중국어,True,True,False,보통
177,177,일본어,True,False,False,느림
178,178,영어,False,True,True,빠름
