setting_id,owner,sound_effects,background_music,auto_pass_priority,animation_speed,card_back_design,notification_friend_online,privacy_level,timer_preference
1,1,True,True,False,느림,2,True,공개,107
2,2,True,True,True,느림,19,True,공개,94
3,3,True,False,False,느림,17,False,친구만,128
4,4,True,False,False,빠름,2,True,비공개,172
5,5,True,True,False,보통,19,False,공개,136
6,6,True,False,False,빠름,5,True,비공개,46
7,7,True,True,False,보통,9,False,비공개,112
8,8,False,True,True,느림,6,True,친구만,135
9,9,True,True,True,보통,18,True,비공개,83
10,10,True,False,False,빠름,6,True,공개,148
11,11,True,True,False,느림,13,True,친구만,31
12,12,True,True,True,느림,3,True,친구만,113
13,13,True,True,True,느림,11,True,비공개,98
14,14,True,True,True,빠름,14,True,공개,95
15,15,True,True,True,빠름,3,True,친구만,40
16,16,True,True,False,보통,6,True,비공개,128
17,17,True,False,False,느림,9,False,공개,123
18,18,True,True,False,빠름,2,False,공개,140
19,19,True,True,True,느림,13,False,공개,97
20,20,True,True,True,빠름,20,True,공개,30
21,21,False,True,False,보통,17,False,공개,30
22,22,False,False,False,느림,16,False,공개,163
23,23,True,True,False,빠름,5,False,비공개,49
24,24,True,True,False,느림,5,False,비공개,109
25,25,False,True,False,빠름,12,True,공개,104
26,26,False,True,False,빠름,11,True,공개,41
27,27,True,True,False,빠름,9,True,친구만,40
28,28,False,True,False,느림,17,True,친구만,35
29,29,False,True,False,보통,3,True,공개,102
30,30,False,True,True,보통,1,True,비공개,52
31,31,False,True,True,느림,8,False,공개,144
32,32,True,False,False,느림,9,True,공개,55
33,33,True,False,True,보통,9,True,친구만,77
34,34,True,True,False,빠름,17,True,친구만,39
35,35,False,True,True,빠름,14,True,공개,41
36,36,True,True,True,보통,19,True,공개,168
37,37,False,False,False,빠름,9,True,비공개,97
38,38,True,True,True,느림,6,False,친구만,84
39,39,True,True,True,느림,8,True,공개,79
40,40,True,True,True,느림,8,False,친구만,98
41,41,True,True,False,빠름,4,True,친구만,141
42,42,True,False,True,빠름,18,True,비공개,76
43,43,True,True,False,느림,5,True,친구만,53
44,44,True,True,False,느림,17,False,친구만,104
45,45,True,True,False,느림,16,True,공개,133
46,46,True,False,False,느림,9,True,친구만,51
47,47,False,True,True,빠름,10,True,비공개,171
48,48,False,True,False,보통,8,True,공개,53
49,49,True,False,False,느림,18,True,친구만,65
50,50,False,True,False,보통,13,True,공개,148
51,51,True,True,True,느림,14,True,비공개,79
52,52,False,False,False,빠름,7,True,친구만,114
53,53,True,True,False,느림,16,False,비공개,147
54,54,True,True,False,느림,20,False,비공개,142
55,55,True,True,False,빠름,20,True,비공개,140
56,56,True,True,False,빠름,4,False,친구만,87
