detail_id,project_id,description,start_date,end_date,reward_info,risk_info,delivery_date,thumbnail_url
1,1,"Consequuntur reprehenderit modi. Sequi eum aliquid illum itaque.
Qui aspernatur perspiciatis veritatis sunt. Inventore placeat similique aut ea. Tenetur similique dolorem commodi magnam quis nihil.
Aut et pariatur sunt. Dicta sed asperiores quaerat commodi.
Ducimus culpa consectetur at iste est occaecati. Dolorum commodi optio neque amet. Odit laborum quibusdam nihil excepturi.
Magni nihil expedita sapiente earum. Iste cum quos fuga dolor.",2025-05-15,2025-06-23,"Magni dolore earum reiciendis. Quo odit quidem quisquam.
Minima ea ea voluptates fugiat. Quibusdam repellendus voluptatibus laborum corporis.","Ipsum ducimus explicabo magnam. Sint nulla eligendi quia repellendus.
Deserunt quod repudiandae minus ad. Iusto laboriosam quisquam quis libero.",2025-09-30,https://img.example.com/thumb_1.jpg
2,2,"Eius accusantium eum cum ab natus. Doloremque veniam excepturi dignissimos dignissimos natus. Porro culpa accusantium facilis itaque quo enim dolore.
Porro maiores soluta laudantium eveniet possimus quaerat. Numquam corrupti velit excepturi perspiciatis voluptate dolorum.
Rem facere officiis minus error maxime cumque. Numquam temporibus repudiandae voluptates exercitationem. Fugiat consequatur quis nam.
Odio laborum soluta placeat aspernatur magni. Odio facilis maxime laboriosam.",2025-04-13,2025-06-06,Omnis nesciunt odit repudiandae et. Consequuntur earum itaque voluptatibus quas aliquid.,"Quae pariatur error commodi. Culpa cum quisquam aperiam corporis quod expedita accusantium.
Possimus neque assumenda aut. Ipsum nam neque. Nostrum tempora quaerat.",2025-09-09,https://img.example.com/thumb_2.jpg
3,3,"Voluptates numquam minima mollitia magnam.
Voluptatum deleniti ipsa iure placeat repudiandae pariatur. Nisi sapiente ullam est nisi culpa.
Ab tempore architecto deleniti culpa. Aut dolor reprehenderit deleniti labore ipsa. Nisi officia iste sequi aliquid. Laboriosam commodi quam.
Atque placeat recusandae at tempore placeat.
Fugiat nulla magnam adipisci. Qui saepe libero accusantium distinctio eveniet. Numquam magni sunt.",2025-03-25,2025-06-06,Fugiat facilis sed ut deleniti officia. Consequatur aspernatur quae nostrum corporis. Eaque quam amet impedit eos error.,Quia ut natus dolorem. Dignissimos harum inventore culpa dicta laudantium distinctio. Quasi molestiae blanditiis omnis exercitationem dolores.,2025-09-22,https://img.example.com/thumb_3.jpg
4,4,"Minima sapiente nulla excepturi dolore provident. Perspiciatis deleniti ipsam.
Doloremque ipsa amet quidem.
Doloremque architecto magnam ducimus aperiam exercitationem. Quisquam ipsum est porro provident. Excepturi harum laboriosam aliquid voluptates itaque explicabo.
Soluta incidunt dolorem nam ducimus. Fugit modi veritatis. Dolores mollitia optio iure odio.
Quis similique ut eaque dolor explicabo.",2025-03-11,2025-06-23,Fugit nesciunt alias. Vel perferendis ratione aut id odit perferendis. Doloribus corrupti nostrum dolorum aspernatur.,Quam doloremque aliquam iste vitae. Non dignissimos tempore voluptatum aliquid iure. Dolorem veritatis optio veniam repellat.,2025-08-15,https://img.example.com/thumb_4.jpg
5,5,"Officiis possimus earum possimus aspernatur ab. Porro labore quisquam quisquam pariatur. Nemo repellendus nisi natus aliquid. Qui autem error quasi ullam eligendi quia.
Et molestias quam culpa a. Corrupti inventore possimus eligendi. Quisquam aperiam vitae.
Temporibus et et ratione at.
Omnis ut aspernatur impedit. Perferendis eum similique autem a laudantium voluptatum. Odio ducimus optio soluta excepturi quas.",2025-05-21,2025-07-31,"A earum officia nemo quibusdam voluptatum quisquam. Fugit numquam quaerat doloremque non.
Dolor animi pariatur. Repellendus repellendus odio dolore eveniet dolor reiciendis nam.",Non libero sed rem. Quidem quidem a.,2026-05-06,https://img.example.com/thumb_5.jpg
6,6,"Neque vel eveniet veritatis nulla praesentium optio. Fugiat sit accusamus.
Ipsa ab voluptatum voluptatum recusandae quidem. Officiis cumque eos deserunt voluptatibus eveniet saepe.
Nesciunt modi id facilis inventore laboriosam. Consequuntur debitis veritatis deserunt harum dolor eveniet.
Sapiente nam quam ipsam itaque sequi voluptate fuga. Commodi dolorem iusto quibusdam.
Nostrum iste quos eius iure quas.
Cupiditate tenetur ullam optio. Molestias iure consequatur vero sequi hic voluptatem.",2025-05-09,2025-06-06,Praesentium libero at excepturi harum impedit. Ipsum officia dignissimos accusantium ullam. Corrupti natus ea ipsum eos amet. Voluptatem nesciunt voluptatum.,"Exercitationem perferendis ducimus error quae sunt earum.
Sint at ducimus placeat adipisci. Porro veritatis sequi eum.",2026-02-14,https://img.example.com/thumb_6.jpg
7,7,"Nihil suscipit asperiores voluptatem placeat. Magnam labore excepturi optio sed. Facere perferendis recusandae optio cum dolores. Saepe deserunt repellendus doloremque quo commodi.
Reprehenderit perferendis numquam nam quos ex. Reprehenderit perspiciatis sapiente excepturi ullam. Maiores cumque adipisci atque. Excepturi ipsum aut eum consequuntur deleniti quos.
Quisquam quos harum expedita. At ullam aut commodi consectetur sint. Enim quidem quam.",2025-05-12,2025-08-08,Alias quibusdam praesentium repellat rerum. Explicabo vero numquam quisquam quam tempore minima.,Id tenetur quae illo ipsum minus minima vitae. Iure debitis eos soluta porro repudiandae. Illum saepe iste doloremque soluta distinctio.,2025-08-03,https://img.example.com/thumb_7.jpg
8,8,"Repellendus quibusdam odit officiis deserunt in consectetur optio. Vel est quae omnis consequatur facilis.
Ut quas error nemo distinctio quasi. Dicta deserunt vitae. Dicta perferendis quis tempora.
Optio quisquam delectus praesentium esse delectus ad. Perferendis iste quo iste consectetur delectus. Doloremque ex dolor eaque delectus rerum.
Veritatis praesentium atque ipsa voluptatum. Recusandae id odio tempore esse. Cumque asperiores quis necessitatibus cumque.",2025-04-28,2025-08-22,Quam harum consequuntur eos doloribus dignissimos. Ea optio ex voluptate aut iusto. At illo culpa perspiciatis architecto facere veniam.,"Suscipit voluptas modi explicabo. Excepturi soluta quisquam.
A expedita quibusdam ipsam aspernatur. Et reiciendis saepe non corporis architecto ipsam.",2025-07-29,https://img.example.com/thumb_8.jpg
9,9,"Delectus incidunt ad voluptate ipsa architecto similique impedit. Ipsam architecto id a.
Magnam officia perspiciatis deleniti expedita. Perferendis temporibus excepturi tenetur deserunt voluptatibus. Voluptatem assumenda esse asperiores neque.
Eligendi illum consectetur quos sunt quos. Fuga assumenda dolore ipsa voluptatem at est nulla. Excepturi consequuntur nesciunt ea.
Et maiores incidunt doloribus suscipit officiis atque. Voluptates esse nulla nobis esse odit iusto.",2025-03-13,2025-07-09,Animi nobis praesentium consequatur eos. Quas iure officia non quasi animi earum.,"Exercitationem esse assumenda tempore quasi. Nihil unde culpa tenetur sit.
Perspiciatis veritatis enim sequi.
Exercitationem ut veniam totam molestias voluptatibus aut. Expedita iure facilis.",2025-10-13,https://img.example.com/thumb_9.jpg
10,10,"Rerum praesentium expedita eos atque vel debitis. Numquam qui ut totam itaque mollitia perferendis.
Modi veritatis ipsum provident aspernatur.
Labore sed sapiente debitis eveniet. Ea neque velit nam odio earum. Error modi at voluptas non non voluptas excepturi.
Aliquam laudantium consequatur illum ipsa. Quo assumenda aperiam architecto libero modi suscipit. Nisi adipisci numquam porro quia.",2025-03-12,2025-08-14,Hic accusamus cumque ullam magni numquam. Fugit tempore magni vel quas quas. Ut commodi sequi earum.,"Omnis assumenda eaque accusamus dolorem at praesentium optio.
Necessitatibus odio exercitationem ipsa. Sequi labore a magnam est. Eum eaque adipisci architecto facere culpa.",2026-05-21,https://img.example.com/thumb_10.jpg
