detail_id,project_id,description,start_date,end_date,category,reward_info,risk_info,delivery_date,thumbnail_url
1,1,443,2025-05-15,2025-06-23,게임,"Magni dolore earum reiciendis. Quo odit quidem quisquam.
Minima ea ea voluptates fugiat. Quibusdam repellendus voluptatibus laborum corporis.","Ipsum ducimus explicabo magnam. Sint nulla eligendi quia repellendus.
Deserunt quod repudiandae minus ad. Iusto laboriosam quisquam quis libero.",2025-09-30,https://img.example.com/thumb_1.jpg
2,2,484,2025-04-13,2025-06-06,게임,Omnis nesciunt odit repudiandae et. Consequuntur earum itaque voluptatibus quas aliquid.,"Quae pariatur error commodi. Culpa cum quisquam aperiam corporis quod expedita accusantium.
Possimus neque assumenda aut. Ipsum nam neque. Nostrum tempora quaerat.",2025-09-09,https://img.example.com/thumb_2.jpg
3,3,424,2025-03-25,2025-06-06,패션,Fugiat facilis sed ut deleniti officia. Consequatur aspernatur quae nostrum corporis. Eaque quam amet impedit eos error.,Quia ut natus dolorem. Dignissimos harum inventore culpa dicta laudantium distinctio. Quasi molestiae blanditiis omnis exercitationem dolores.,2025-09-22,https://img.example.com/thumb_3.jpg
4,4,402,2025-03-11,2025-06-23,푸드,Fugit nesciunt alias. Vel perferendis ratione aut id odit perferendis. Doloribus corrupti nostrum dolorum aspernatur.,Quam doloremque aliquam iste vitae. Non dignissimos tempore voluptatum aliquid iure. Dolorem veritatis optio veniam repellat.,2025-08-15,https://img.example.com/thumb_4.jpg
5,5,414,2025-05-21,2025-07-31,게임,"A earum officia nemo quibusdam voluptatum quisquam. Fugit numquam quaerat doloremque non.
Dolor animi pariatur. Repellendus repellendus odio dolore eveniet dolor reiciendis nam.",Non libero sed rem. Quidem quidem a.,2026-05-06,https://img.example.com/thumb_5.jpg
6,6,494,2025-05-09,2025-06-06,푸드,Praesentium libero at excepturi harum impedit. Ipsum officia dignissimos accusantium ullam. Corrupti natus ea ipsum eos amet. Voluptatem nesciunt voluptatum.,"Exercitationem perferendis ducimus error quae sunt earum.
Sint at ducimus placeat adipisci. Porro veritatis sequi eum.",2026-02-14,https://img.example.com/thumb_6.jpg
7,7,450,2025-05-12,2025-08-08,기술,Alias quibusdam praesentium repellat rerum. Explicabo vero numquam quisquam quam tempore minima.,Id tenetur quae illo ipsum minus minima vitae. Iure debitis eos soluta porro repudiandae. Illum saepe iste doloremque soluta distinctio.,2025-08-03,https://img.example.com/thumb_7.jpg
8,8,465,2025-04-28,2025-08-22,푸드,Quam harum consequuntur eos doloribus dignissimos. Ea optio ex voluptate aut iusto. At illo culpa perspiciatis architecto facere veniam.,"Suscipit voluptas modi explicabo. Excepturi soluta quisquam.
A expedita quibusdam ipsam aspernatur. Et reiciendis saepe non corporis architecto ipsam.",2025-07-29,https://img.example.com/thumb_8.jpg
9,9,474,2025-03-13,2025-07-09,예술,Animi nobis praesentium consequatur eos. Quas iure officia non quasi animi earum.,"Exercitationem esse assumenda tempore quasi. Nihil unde culpa tenetur sit.
Perspiciatis veritatis enim sequi.
Exercitationem ut veniam totam molestias voluptatibus aut. Expedita iure facilis.",2025-10-13,https://img.example.com/thumb_9.jpg
10,10,393,2025-03-12,2025-08-14,기타,Hic accusamus cumque ullam magni numquam. Fugit tempore magni vel quas quas. Ut commodi sequi earum.,"Omnis assumenda eaque accusamus dolorem at praesentium optio.
Necessitatibus odio exercitationem ipsa. Sequi labore a magnam est. Eum eaque adipisci architecto facere culpa.",2026-05-21,https://img.example.com/thumb_10.jpg
