membership_id,contact_id,group_id,joined_date,role,connection_date,confidence_level
1,48,2,2023-09-21,관리자,2024-06-30 14:45:39.719748,0.96
2,54,5,2024-09-29,리더,2024-09-12 10:25:16.872356,0.98
3,36,8,2024-12-08,관리자,2024-10-13 13:11:06.472069,0.95
4,19,2,2024-12-24,일반,2025-03-14 05:07:53.772893,0.84
5,120,8,2024-11-10,리더,2025-01-17 07:48:05.766042,0.67
6,22,1,2024-01-20,관리자,2024-08-13 04:31:15.028043,0.94
7,114,9,2024-07-05,리더,2024-09-02 13:28:06.914133,0.88
8,85,7,2024-08-11,관리자,2024-08-21 13:55:54.090666,0.61
9,37,4,2025-02-04,일반,2025-03-18 22:49:40.905392,0.91
10,15,7,2025-05-23,관리자,2024-08-11 09:07:47.395067,0.83
11,47,3,2024-01-10,일반,2024-11-11 02:38:21.872464,0.63
12,36,6,2023-07-25,관리자,2024-11-08 01:03:14.297007,0.64
13,71,8,2025-02-11,일반,2025-03-31 15:20:00.804870,0.84
14,58,8,2024-03-03,리더,2025-05-07 07:14:58.179513,0.58
15,81,3,2023-10-10,리더,2025-04-10 04:27:01.360921,0.57
16,105,8,2024-09-22,관리자,2024-10-26 17:57:20.559446,0.85
17,100,1,2023-08-14,일반,2025-04-13 14:59:28.256709,0.99
18,2,1,2023-12-12,일반,2024-06-03 12:22:30.920611,0.93
19,32,4,2024-08-31,관리자,2025-05-04 04:24:35.211076,0.63
20,108,6,2025-05-12,관리자,2025-04-23 14:19:30.422148,0.9
21,26,8,2024-09-07,일반,2024-07-21 12:31:04.461241,0.59
22,24,2,2025-04-07,일반,2024-08-16 23:26:43.125200,0.55
23,48,8,2024-06-17,리더,2024-06-11 23:33:46.945200,0.65
24,13,2,2023-09-16,리더,2025-03-03 06:42:56.465989,0.7
25,70,10,2023-10-18,일반,2025-04-03 13:35:33.691761,0.59
26,106,9,2023-07-03,리더,2025-05-12 20:37:10.939572,0.71
27,97,7,2025-02-21,일반,2025-05-15 12:32:09.680243,0.76
28,26,8,2024-02-11,일반,2025-04-28 17:49:33.092082,0.78
29,69,2,2025-03-17,관리자,2024-11-12 06:43:21.788359,0.63
30,59,4,2024-12-30,리더,2024-08-20 17:24:17.801014,0.89
31,32,7,2024-02-10,일반,2025-01-06 04:24:03.914505,0.99
32,80,1,2024-03-21,일반,2025-02-22 22:30:17.831384,0.55
33,95,5,2023-10-25,리더,2024-10-01 15:12:23.607094,0.59
34,92,3,2024-01-28,리더,2025-01-13 16:19:40.067193,1.0
35,40,3,2024-10-08,일반,2024-06-19 04:11:06.726290,0.97
36,16,10,2024-02-09,리더,2024-06-18 01:12:21.747094,0.98
37,57,10,2024-09-23,관리자,2025-01-06 22:47:45.757875,0.79
38,112,8,2025-05-01,일반,2024-08-14 02:45:59.422681,0.8
39,99,3,2023-06-08,관리자,2024-07-28 07:52:31.412975,0.75
