preference_id,writer_id,writer_year,emotion_id,emotion_year,usage_frequency
45,33,2001,10,2022,49
48,15,1994,14,2023,31
5,22,1985,10,2024,38
56,35,1987,8,2023,43
27,14,1982,5,2021,25
65,19,1997,7,2023,27
74,7,2001,3,2020,16
11,14,1999,11,2021,41
41,34,1990,15,2020,27
108,22,2001,9,2023,50
19,1,1996,11,2022,19
63,5,1999,15,2021,49
12,29,1998,4,2023,32
37,38,1993,1,2021,23
90,3,1982,14,2022,46
92,16,1982,7,2021,8
110,11,1990,4,2020,34
1,22,1985,15,2020,15
89,32,1980,4,2022,6
105,11,1981,12,2020,11
66,32,1985,10,2020,19
46,39,1994,5,2023,38
32,24,1989,12,2022,26
71,22,1983,15,2024,17
43,32,1983,6,2020,31
13,35,2004,8,2023,7
16,22,1995,7,2022,28
115,32,1980,12,2022,27
77,11,1996,4,2022,33
98,9,1995,6,2024,20
25,26,2000,11,2021,40
79,7,2004,1,2024,33
23,12,1987,13,2023,45
97,31,2004,15,2021,23
57,34,2001,15,2023,12
111,18,1995,6,2021,35
31,33,1991,9,2021,49
54,7,1985,7,2022,34
119,32,2001,6,2023,1
10,8,2003,10,2021,36
34,1,1999,3,2022,22
26,7,1999,14,2024,41
70,2,1995,1,2023,35
29,6,1996,2,2021,9
99,39,2001,13,2023,50
86,34,1988,2,2024,3
6,35,1990,2,2023,25
91,23,1988,5,2024,40
69,21,1988,13,2024,16
40,36,1984,5,2022,22
50,31,2003,5,2022,35
36,18,1993,4,2024,29
17,15,1991,10,2023,45
67,34,1997,1,2023,33
35,14,2003,5,2021,5
114,20,1984,13,2020,10
8,13,2003,11,2021,35
44,8,1989,15,2022,17
73,1,1993,10,2020,35
68,9,1980,11,2023,47
84,9,1995,3,2022,26
28,6,1996,12,2020,44
20,34,1992,9,2020,3
96,14,1991,8,2022,45
101,6,2000,10,2024,21
9,5,2004,6,2024,11
14,35,1987,11,2020,12
85,12,1997,10,2024,40
4,26,1997,15,2020,11
18,31,1980,15,2022,19
39,33,1997,8,2024,23
118,24,1990,2,2022,39
7,2,1987,2,2022,38
78,15,2001,5,2020,15
112,15,2002,14,2023,27
95,20,1988,1,2023,45
55,19,1996,7,2024,24
51,13,1996,8,2024,15
81,10,1998,14,2022,33
47,37,1999,1,2023,9
82,38,1986,3,2023,45
62,20,1987,15,2024,40
117,2,1985,15,2020,13
80,1,2005,10,2024,35
