hobby_id,hobby_name,category,popularity,quality_rating,last_activity
1,영화감상,야외활동,6,4.5,2025-05-07 09:56:19.977179
2,독서,문화,9,2.0,2025-05-16 00:16:33.545529
3,운동,실내활동,1,4.5,2025-05-15 18:14:39.850696
4,요리,취미,2,2.1,2025-05-26 17:58:20.915991
5,여행,실내활동,6,1.7,2025-05-19 13:28:55.070791
6,음악감상,실내활동,10,2.8,2025-05-19 22:12:09.983557
7,사진촬영,야외활동,5,2.6,2025-05-11 06:37:37.804075
8,게임,실내활동,6,4.9,2025-05-15 17:16:42.522276
9,등산,야외활동,9,1.1,2025-06-02 01:25:17.356619
10,캠핑,문화,9,2.0,2025-05-30 05:52:35.337928
11,드라이브,실내활동,8,3.1,2025-05-05 23:05:36.246213
12,카페투어,야외활동,9,1.6,2025-05-10 17:38:04.743151
13,전시관람,문화,7,1.9,2025-05-08 04:45:00.343034
14,공연관람,취미,2,3.6,2025-05-17 05:58:24.022218
15,스포츠관람,취미,1,3.6,2025-05-18 17:58:15.704513
16,반려동물,취미,10,2.6,2025-05-30 18:43:55.895942
17,원예,문화,1,2.2,2025-05-30 15:50:44.813576
18,수집,야외활동,9,2.9,2025-05-12 12:32:24.150049
