assignment_id,livestock_mkt,analysts_anal,prediction_accuracy,report_submitted,analysis_type
1,48,7,41,True,주간분석
2,50,8,71,True,분기분석
3,14,15,3,True,특별분석
4,45,22,59,True,특별분석
5,14,6,62,True,특별분석
6,33,9,58,True,특별분석
7,36,4,57,True,특별분석
8,48,18,44,True,월간분석
9,45,30,76,False,특별분석
10,30,24,12,False,분기분석
11,35,30,76,True,주간분석
12,5,11,56,True,특별분석
13,16,9,25,False,주간분석
14,22,4,41,True,특별분석
15,23,16,89,True,월간분석
16,29,24,91,True,주간분석
17,45,14,75,True,주간분석
18,12,3,32,True,주간분석
19,50,19,26,True,분기분석
20,21,3,62,True,주간분석
21,6,19,0,False,주간분석
22,31,6,49,True,분기분석
23,43,1,36,True,월간분석
24,13,9,44,True,분기분석
25,17,8,62,True,분기분석
26,9,14,71,True,주간분석
27,10,11,87,True,분기분석
28,13,24,6,True,월간분석
29,42,19,40,True,분기분석
30,3,8,25,True,주간분석
31,7,16,57,True,특별분석
32,17,18,97,True,주간분석
33,49,2,81,False,분기분석
34,8,15,89,True,특별분석
35,38,8,27,True,주간분석
36,42,13,66,True,특별분석
37,23,12,75,True,월간분석
38,11,25,26,True,분기분석
39,1,6,54,True,주간분석
40,15,1,52,True,월간분석
41,30,7,95,True,분기분석
42,9,26,72,True,주간분석
43,7,18,29,True,주간분석
44,11,8,30,False,주간분석
45,32,25,3,True,특별분석
46,42,30,100,True,월간분석
47,21,21,59,True,주간분석
48,43,11,8,False,월간분석
49,5,29,99,True,특별분석
50,18,4,45,True,주간분석
51,37,6,76,True,특별분석
52,50,9,89,True,주간분석
53,30,30,49,False,특별분석
54,36,9,82,True,특별분석
55,32,18,81,True,월간분석
56,48,22,68,True,특별분석
57,25,12,7,False,월간분석
58,34,7,88,True,분기분석
59,22,10,45,True,월간분석
60,9,10,99,True,특별분석
61,16,2,42,True,주간분석
62,29,14,12,True,월간분석
63,37,18,36,False,주간분석
64,35,15,57,True,월간분석
65,6,21,37,True,주간분석
66,43,9,85,True,월간분석
67,29,27,51,True,월간분석
68,19,7,78,True,주간분석
69,40,1,28,False,특별분석
70,45,16,20,True,분기분석
71,36,9,33,True,특별분석
72,22,3,97,True,특별분석
73,24,9,8,True,특별분석
74,22,18,59,True,분기분석
75,14,16,24,True,주간분석
76,18,19,97,True,주간분석
77,9,12,38,True,월간분석
78,28,21,66,True,분기분석
79,44,29,82,True,주간분석
80,15,30,37,False,분기분석
81,24,1,50,True,월간분석
82,34,23,97,True,특별분석
83,32,30,21,True,월간분석
84,23,20,73,False,주간분석
85,15,26,33,True,주간분석
86,42,3,94,True,월간분석
87,47,2,59,True,월간분석
88,40,25,70,True,분기분석
89,25,19,34,True,분기분석
90,36,26,82,True,특별분석
91,23,10,11,False,분기분석
92,3,8,91,True,주간분석
93,28,6,5,False,월간분석
94,11,3,15,True,특별분석
95,28,28,46,True,분기분석
96,40,13,35,True,주간분석
97,39,16,77,True,주간분석
98,32,10,3,True,월간분석
99,12,15,85,True,주간분석
100,22,16,87,True,특별분석
101,13,19,18,True,주간분석
102,5,24,0,True,월간분석
103,42,21,66,True,주간분석
104,37,6,84,True,분기분석
105,5,15,73,True,분기분석
106,44,4,62,False,월간분석
107,32,11,78,True,주간분석
108,4,5,31,False,특별분석
109,8,28,0,True,특별분석
110,30,28,65,False,월간분석
111,3,13,15,True,특별분석
112,28,10,31,False,분기분석
113,37,14,38,True,분기분석
114,15,13,94,True,월간분석
115,38,29,3,True,분기분석
116,34,9,45,True,월간분석
117,18,3,6,False,분기분석
118,4,21,6,True,특별분석
119,18,21,25,True,주간분석
120,50,20,52,True,월간분석
