record_id,owner,result,created_at,game_type
1,233,승리,2025-04-24 10:41:48.611932,이벤트
2,213,무승부,2025-01-29 09:21:32.412649,퀘스트
3,34,승리,2025-02-11 00:50:00.089283,이벤트
4,135,무승부,2025-01-27 18:38:51.176263,퀘스트
5,2,무승부,2025-03-03 02:44:54.615086,퀘스트
6,83,패배,2025-04-26 15:09:00.441153,퀘스트
7,284,승리,2025-03-26 13:13:22.063479,PvE
8,38,패배,2024-12-13 23:55:30.708511,이벤트
9,135,승리,2025-05-24 05:12:42.357821,퀘스트
10,48,패배,2025-06-01 23:37:08.298499,이벤트
11,288,승리,2025-04-20 04:09:15.389162,PvP
12,124,승리,2025-01-13 17:49:28.517090,PvE
13,261,패배,2024-12-17 00:38:50.882149,레이드
14,28,무승부,2025-01-06 06:51:16.655278,PvP
15,115,패배,2025-05-03 11:39:17.795385,PvE
16,281,무승부,2025-01-28 06:37:54.125597,PvE
17,48,승리,2025-01-06 11:32:08.796104,레이드
18,103,패배,2025-02-13 15:49:36.859595,PvP
19,52,무승부,2025-03-23 09:45:54.764845,PvE
20,169,무승부,2025-05-21 12:49:45.600276,퀘스트
21,145,패배,2025-05-03 17:10:00.697758,레이드
22,291,무승부,2025-02-15 08:51:42.657635,PvP
23,198,승리,2024-12-21 21:54:06.287721,이벤트
24,78,패배,2025-03-17 20:23:55.185383,이벤트
25,9,무승부,2025-01-02 23:34:02.376453,레이드
26,50,패배,2025-03-16 11:39:58.943732,이벤트
27,217,무승부,2025-02-21 22:58:57.914614,퀘스트
28,267,패배,2025-01-09 01:45:25.920628,퀘스트
29,238,패배,2024-12-30 21:31:07.041600,이벤트
30,146,무승부,2025-02-21 10:30:15.861305,PvP
31,83,패배,2025-03-05 22:19:48.310338,레이드
32,155,패배,2025-02-05 16:25:00.703310,PvE
33,157,승리,2025-01-21 18:40:30.609481,퀘스트
34,228,승리,2025-03-07 00:02:47.429086,이벤트
35,68,승리,2025-04-19 03:03:56.105491,PvP
36,129,승리,2025-02-05 18:30:48.017085,PvE
37,209,승리,2025-01-20 04:18:09.025280,레이드
38,76,패배,2025-01-19 15:12:05.990000,PvP
39,165,무승부,2025-04-02 17:15:50.327363,이벤트
40,220,승리,2025-03-20 02:59:44.191396,이벤트
41,66,승리,2025-03-08 17:35:10.094082,PvP
42,82,무승부,2025-03-29 16:00:44.152615,이벤트
43,221,패배,2025-05-30 05:18:39.211608,레이드
44,164,무승부,2025-01-24 20:23:07.460005,PvP
45,138,패배,2025-02-12 15:49:28.993496,퀘스트
46,150,패배,2025-02-09 10:26:51.697634,퀘스트
47,57,무승부,2025-03-23 16:18:24.668932,레이드
48,52,패배,2024-12-20 14:03:29.210925,PvP
49,103,무승부,2025-03-29 14:38:52.309413,PvP
50,52,무승부,2025-05-01 13:10:32.383733,PvE
51,269,승리,2025-06-01 01:36:47.653562,PvE
52,45,승리,2025-02-19 18:30:18.890338,PvE
53,215,패배,2024-12-18 06:00:52.848672,레이드
54,192,패배,2025-04-22 11:46:08.824278,PvP
55,300,무승부,2025-05-04 12:38:06.580265,레이드
