analytics_id,livestock_mkt,monthly_avg_price,supply_stability,demand_trend,competition_level,quality_rating,avg_transaction_size,customer_satisfaction,market_share,growth_rate,last_updated
3,3,15163,보통,유지,보통,5,6367,2,0.09,-0.011,2025-05-13 11:43:16.381623
44,44,16127,안정,유지,높음,4,8677,5,0.027,0.019,2025-05-06 17:28:04.890678
36,36,16532,불안정,하락,높음,5,4495,3,0.116,0.143,2025-06-02 01:48:12.671452
24,24,24326,보통,상승,낮음,5,6175,2,0.13,-0.081,2025-05-16 12:50:23.289425
41,41,24589,불안정,하락,높음,3,2837,4,0.102,0.039,2025-05-24 08:16:54.507569
11,11,18565,안정,하락,높음,3,5100,4,0.129,0.065,2025-05-21 21:30:21.869640
23,23,21637,안정,하락,보통,5,3137,3,0.035,0.069,2025-05-18 15:36:53.599574
19,19,17494,불안정,유지,높음,3,6248,5,0.113,-0.075,2025-05-08 05:55:45.098230
50,50,24436,불안정,상승,낮음,4,7322,5,0.054,-0.081,2025-05-18 06:05:37.221864
21,21,20583,보통,하락,낮음,3,5644,4,0.089,0.111,2025-05-26 13:17:45.426144
8,8,21658,안정,하락,낮음,4,3299,2,0.086,0.124,2025-05-20 18:40:15.390815
43,43,21621,안정,하락,높음,5,3905,1,0.019,0.117,2025-05-14 05:56:46.496234
15,15,22293,보통,상승,낮음,3,8326,1,0.033,-0.034,2025-05-05 14:02:31.176625
29,29,19914,불안정,유지,낮음,3,3111,4,0.104,-0.002,2025-05-05 07:29:03.571070
39,39,21040,불안정,유지,낮음,3,7867,1,0.111,0.037,2025-05-14 15:25:50.001548
