result_id,takers_id,test_type,test_date,completion_time,total_score,personality_type,stress_level,validity_check,report_generated
1,192,MMPI,2025-05-31,23,102,ENTP,낮음,True,1
2,31,MMPI,2025-03-28,25,100,ENFP,매우높음,True,1
3,108,Big5,2024-08-21,119,79,ENTJ,매우높음,True,1
4,159,MBTI,2025-03-13,20,77,None,높음,True,1
5,83,MMPI,2024-10-14,106,106,ENFP,높음,False,1
6,183,MMPI,2025-04-11,110,133,ESTP,보통,True,0
7,91,Big5,2024-11-01,91,140,ENTJ,낮음,False,1
8,188,MBTI,2025-04-13,90,106,ISFP,높음,True,0
9,24,MMPI,2025-03-18,57,126,ENFP,높음,True,1
10,103,MMPI,2025-01-09,61,64,ISFJ,매우높음,True,0
11,95,MBTI,2024-10-31,52,148,ESTP,매우높음,True,1
12,52,NEO-PI-R,2025-05-02,19,138,ENFP,매우높음,True,0
13,161,MBTI,2024-12-16,102,97,ISFP,매우높음,True,0
14,143,MMPI,2025-03-07,70,137,ENTJ,낮음,True,1
15,37,MBTI,2024-07-26,49,66,INFP,높음,True,1
16,37,NEO-PI-R,2024-10-24,28,138,ENTP,보통,True,1
17,5,Big5,2025-04-02,87,82,INTJ,보통,False,1
18,119,NEO-PI-R,2024-09-09,104,92,ISFP,낮음,True,0
19,111,NEO-PI-R,2024-11-09,80,88,ENTJ,매우높음,True,1
20,94,MBTI,2025-02-25,106,96,ISFJ,높음,True,1
21,178,Big5,2025-01-09,106,110,INTJ,보통,True,1
22,5,MMPI,2024-12-20,90,85,ENTP,보통,True,1
23,151,MBTI,2025-02-24,36,145,INFP,매우높음,True,0
24,93,MMPI,2025-05-18,71,129,None,보통,True,1
25,80,NEO-PI-R,2025-03-21,83,50,ISFP,매우높음,True,1
26,100,CPI,2024-12-16,77,101,ESTP,낮음,True,1
27,63,Big5,2024-10-10,99,84,ENTP,보통,True,1
28,119,MMPI,2024-07-02,24,95,None,보통,True,1
29,20,CPI,2024-06-08,88,73,ENTP,매우높음,True,1
30,197,NEO-PI-R,2024-06-21,23,105,INTJ,매우높음,True,0
31,114,MMPI,2025-03-27,59,120,ENFP,보통,True,0
32,37,MMPI,2025-01-09,80,134,ENTP,높음,True,1
33,80,NEO-PI-R,2024-06-18,16,89,ENFP,매우높음,True,1
34,39,MMPI,2025-04-12,45,52,ISFP,낮음,True,0
35,122,NEO-PI-R,2024-10-20,39,56,None,높음,True,0
36,133,CPI,2025-05-26,54,51,ENTP,보통,True,1
37,151,Big5,2025-04-23,80,60,ISFJ,보통,True,1
38,60,NEO-PI-R,2025-03-06,97,128,ESTP,매우높음,True,1
39,68,MBTI,2025-02-20,101,109,ENTJ,매우높음,True,1
40,57,NEO-PI-R,2024-09-25,87,87,ISFJ,낮음,True,1
41,176,MBTI,2025-02-07,58,63,ESTP,낮음,True,1
42,103,MBTI,2024-06-29,102,142,INTJ,낮음,False,1
43,14,MBTI,2024-10-13,43,114,ENTJ,매우높음,True,1
44,25,Big5,2024-12-06,104,111,ISFP,매우높음,True,1
45,73,NEO-PI-R,2024-06-03,39,90,ISFP,보통,True,1
46,97,NEO-PI-R,2024-12-18,81,75,INFP,보통,True,1
47,29,MMPI,2025-04-18,104,95,ESTP,매우높음,True,1
48,144,Big5,2024-08-31,60,113,ENFP,매우높음,True,1
49,158,CPI,2024-06-13,32,145,ENTJ,높음,True,1
50,32,Big5,2024-10-21,50,109,ENTJ,높음,True,1
51,76,MBTI,2024-10-25,81,53,INFP,매우높음,False,1
52,30,MBTI,2025-02-27,92,87,INTJ,보통,True,1
53,169,CPI,2024-06-04,84,85,ENFP,매우높음,True,1
54,18,NEO-PI-R,2024-09-22,100,112,None,매우높음,True,1
55,106,NEO-PI-R,2024-08-31,75,62,ISFP,낮음,True,1
56,87,Big5,2025-02-11,83,118,ISFP,보통,True,1
57,53,CPI,2025-05-23,58,55,INTJ,높음,True,1
58,66,Big5,2024-12-01,87,83,None,보통,False,0
59,50,CPI,2025-05-30,48,117,None,낮음,True,1
60,139,NEO-PI-R,2025-01-26,42,143,ISFP,매우높음,True,1
61,173,NEO-PI-R,2024-12-23,105,100,INTJ,매우높음,True,1
62,24,MBTI,2025-05-17,53,92,None,매우높음,True,1
63,194,MMPI,2025-02-26,72,118,ISFJ,높음,True,1
64,40,MMPI,2025-01-05,108,123,ENTJ,보통,True,0
65,172,CPI,2024-11-28,81,128,ISFP,매우높음,True,1
66,179,NEO-PI-R,2024-11-08,43,143,ISFP,보통,True,1
67,58,CPI,2024-06-30,22,127,ESTP,보통,True,1
68,67,MBTI,2024-07-18,57,103,INFP,매우높음,True,1
69,54,CPI,2024-07-08,30,65,ESTP,낮음,True,1
70,78,MMPI,2024-10-25,52,51,INTJ,높음,True,1
71,77,CPI,2024-12-31,72,147,ISFJ,매우높음,True,1
72,140,MMPI,2024-07-11,85,110,None,높음,True,1
73,116,NEO-PI-R,2025-05-31,22,81,ENTP,낮음,True,1
74,133,MBTI,2024-11-30,97,116,ENTJ,높음,True,0
75,177,Big5,2025-04-06,55,55,ENTJ,높음,True,1
76,48,CPI,2025-04-30,51,125,ISFP,보통,True,1
77,176,CPI,2025-04-16,96,68,ENTP,낮음,False,1
78,163,CPI,2024-12-09,103,123,None,보통,True,1
79,29,Big5,2024-12-04,107,124,ENFP,낮음,True,1
80,128,MMPI,2024-07-15,46,93,INFP,높음,True,1
81,118,MBTI,2025-05-30,117,131,ESTP,높음,True,1
82,47,CPI,2024-11-21,81,132,ESTP,보통,True,0
83,192,CPI,2024-06-03,30,66,ENFP,보통,True,1
84,156,MMPI,2025-01-31,89,145,INFP,매우높음,True,1
85,145,MMPI,2025-04-13,30,75,ENTJ,낮음,True,1
86,112,CPI,2024-07-20,98,147,ISFJ,높음,True,1
87,171,MBTI,2025-04-01,41,93,ESTP,높음,True,1
88,189,MBTI,2025-02-27,102,149,ENTP,낮음,True,1
89,117,MMPI,2024-09-07,31,54,INFP,매우높음,True,1
90,83,NEO-PI-R,2024-12-31,104,127,ESTP,매우높음,True,1
91,149,CPI,2025-01-09,91,85,ENTP,보통,True,1
92,135,MBTI,2025-04-13,107,77,INTJ,보통,True,1
93,50,CPI,2025-05-21,67,148,ENFP,높음,True,1
94,29,CPI,2024-08-24,94,129,INFP,매우높음,True,1
95,112,MBTI,2024-06-16,48,87,INFP,낮음,True,1
96,11,Big5,2024-06-11,29,139,ESTP,매우높음,True,1
97,102,MBTI,2024-12-29,40,90,ISFP,낮음,True,1
98,98,MBTI,2024-07-03,64,142,ISFJ,높음,False,1
99,53,NEO-PI-R,2024-07-08,100,126,ENTP,높음,True,0
100,83,Big5,2024-09-20,37,117,ENFP,낮음,True,1
101,44,Big5,2025-04-24,35,84,ENTJ,높음,True,1
102,173,Big5,2024-08-09,57,102,ESTP,낮음,True,1
103,55,Big5,2025-01-29,76,50,ISFP,높음,True,1
104,107,MMPI,2024-12-01,64,57,INFP,매우높음,True,1
105,187,NEO-PI-R,2025-04-08,64,122,ENTJ,낮음,True,1
106,97,CPI,2025-02-26,97,76,ESTP,보통,True,1
107,33,Big5,2024-09-27,111,68,INFP,낮음,True,1
108,78,MBTI,2025-01-13,32,101,ISFJ,낮음,True,1
109,56,NEO-PI-R,2024-06-08,52,125,ENTP,낮음,True,1
110,88,NEO-PI-R,2024-08-17,96,78,INFP,보통,False,1
111,199,MMPI,2024-06-27,43,93,INTJ,보통,True,1
112,89,NEO-PI-R,2024-11-13,55,147,INTJ,매우높음,False,0
113,36,NEO-PI-R,2024-10-28,60,147,ISFP,보통,True,1
114,28,Big5,2024-12-23,87,115,ENTJ,높음,True,1
115,70,MMPI,2025-01-23,68,114,ISFJ,낮음,False,1
116,103,CPI,2025-01-14,29,112,ENTP,보통,True,1
117,176,MMPI,2024-06-23,116,137,ENFP,보통,True,1
118,182,NEO-PI-R,2024-07-04,99,71,INFP,보통,True,1
119,166,Big5,2024-11-30,51,130,ESTP,낮음,True,0
120,87,Big5,2024-08-05,83,87,ENTP,보통,True,1
121,141,MBTI,2024-06-05,30,130,INTJ,높음,True,1
