analytics_id,livestock_mkt,monthly_avg_price,supply_stability,demand_trend,competition_level,quality_rating,avg_transaction_size,customer_satisfaction,market_share,growth_rate,last_updated
14,14,17953,안정,유지,보통,5,5001,2,0.026,0.099,2025-05-23 13:04:33.245028
40,40,17348,안정,유지,보통,3,9924,3,0.012,-0.083,2025-05-10 16:17:02.674170
31,31,20055,보통,상승,보통,4,7028,5,0.03,-0.065,2025-05-11 22:42:11.457782
46,46,15600,안정,유지,낮음,4,4142,1,0.067,0.124,2025-05-20 21:06:37.172642
18,18,22736,불안정,상승,높음,4,6530,5,0.036,0.162,2025-05-16 14:27:40.286086
49,49,19459,불안정,유지,보통,4,7502,3,0.108,0.003,2025-05-19 18:28:12.331712
27,27,15590,불안정,하락,높음,3,8530,4,0.082,0.072,2025-05-05 10:34:12.145148
26,26,24289,보통,하락,낮음,4,4459,3,0.126,0.052,2025-05-18 17:27:53.634244
33,33,24930,안정,하락,높음,4,6075,5,0.045,0.075,2025-05-08 23:46:51.945107
20,20,18245,안정,하락,낮음,3,9058,3,0.121,0.034,2025-05-19 17:47:57.717216
13,13,17551,보통,유지,보통,3,6791,2,0.037,0.061,2025-05-10 13:54:28.871608
5,5,17794,불안정,상승,보통,4,3999,2,0.148,-0.034,2025-05-24 07:33:47.206427
38,38,23107,안정,상승,낮음,4,6924,2,0.052,0.054,2025-06-01 10:57:17.906217
9,9,20476,불안정,하락,낮음,3,3648,4,0.079,0.082,2025-05-18 08:45:14.731910
4,4,21617,안정,유지,높음,4,2293,3,0.025,0.084,2025-05-11 03:53:13.153439
7,7,21281,안정,유지,높음,5,1514,5,0.148,-0.054,2025-05-04 22:47:06.781310
42,42,23647,보통,유지,높음,5,7406,3,0.107,0.142,2025-05-26 14:16:29.379917
47,47,17132,불안정,유지,높음,5,2729,2,0.08,0.073,2025-05-21 01:03:54.209996
48,48,22719,안정,하락,높음,4,1604,3,0.135,-0.086,2025-05-10 03:29:55.707950
16,16,17620,불안정,하락,보통,3,8086,1,0.074,-0.026,2025-05-21 12:52:55.151650
10,10,21941,안정,유지,높음,4,5229,3,0.141,0.025,2025-05-11 01:17:03.848355
17,17,20821,안정,하락,낮음,4,8744,2,0.046,0.126,2025-05-19 11:50:05.652889
25,25,24026,불안정,유지,보통,4,8661,2,0.136,0.064,2025-05-15 17:42:45.655221
35,35,24513,불안정,유지,보통,3,8279,3,0.043,0.053,2025-05-14 20:47:00.401545
32,32,23366,보통,유지,보통,5,2414,4,0.055,-0.038,2025-05-28 01:29:03.099091
1,1,19081,보통,유지,보통,4,1125,4,0.133,-0.065,2025-05-03 18:55:06.339982
45,45,19831,안정,하락,높음,5,9289,1,0.053,0.145,2025-06-01 06:02:58.306155
28,28,17461,불안정,유지,보통,5,2501,4,0.022,-0.055,2025-05-28 19:07:08.645991
34,34,16785,불안정,하락,높음,3,5583,2,0.047,-0.073,2025-05-03 00:24:05.774275
6,6,19878,안정,상승,보통,5,5772,5,0.05,-0.06,2025-05-17 14:15:15.310544
30,30,15078,안정,유지,낮음,3,5891,1,0.036,0.056,2025-05-08 14:36:15.464989
12,12,19206,불안정,유지,높음,5,2350,5,0.076,0.041,2025-05-11 02:58:14.193666
37,37,19472,안정,유지,낮음,3,7458,2,0.144,0.036,2025-05-14 20:07:34.437311
2,2,18606,보통,상승,낮음,4,1299,3,0.011,0.175,2025-05-29 12:01:51.656715
22,22,22633,불안정,유지,보통,5,3432,3,0.116,-0.077,2025-05-19 07:39:31.222857
