detail_id,project_id,description,start_date,end_date,category,reward_info,risk_info,delivery_date,thumbnail_url
31,31,"Repellendus deleniti quidem voluptatum vero unde. A omnis rerum tenetur in. Voluptatibus ut unde necessitatibus quidem quos. Sunt eligendi neque repellat veritatis perspiciatis.
Nisi illum modi voluptatem quaerat quod libero vitae. Ea in qui ex reiciendis.
Repudiandae enim incidunt deserunt. Id iure beatae repellat optio dicta. Suscipit aspernatur ducimus nam maxime repellendus molestiae.",2025-05-15,2025-07-08,기타,Officia fugiat fugiat repellat. Soluta laudantium cumque necessitatibus ex pariatur. Modi hic nobis aspernatur repellat aliquam expedita. Iure dolores sunt nulla.,"Facere enim iste. Maxime autem minima est.
Alias sequi officiis quidem quam voluptate. A aut temporibus at minima expedita quibusdam.",2025-08-15,https://img.example.com/thumb_31.jpg
1,1,"Consequuntur reprehenderit modi. Sequi eum aliquid illum itaque.
Qui aspernatur perspiciatis veritatis sunt. Inventore placeat similique aut ea. Tenetur similique dolorem commodi magnam quis nihil.
Aut et pariatur sunt. Dicta sed asperiores quaerat commodi.
Ducimus culpa consectetur at iste est occaecati. Dolorum commodi optio neque amet. Odit laborum quibusdam nihil excepturi.
Magni nihil expedita sapiente earum. Iste cum quos fuga dolor.",2025-05-15,2025-06-23,게임,"Magni dolore earum reiciendis. Quo odit quidem quisquam.
Minima ea ea voluptates fugiat. Quibusdam repellendus voluptatibus laborum corporis.","Ipsum ducimus explicabo magnam. Sint nulla eligendi quia repellendus.
Deserunt quod repudiandae minus ad. Iusto laboriosam quisquam quis libero.",2025-09-30,https://img.example.com/thumb_1.jpg
23,23,"Pariatur corrupti eveniet architecto corrupti sed. Adipisci omnis similique rem ipsam velit est. Dignissimos fuga illum fugit exercitationem doloremque.
Odio ex nobis aliquid nesciunt repellat esse. Natus ullam aut at aspernatur qui. Sequi fugiat corrupti amet molestiae voluptate hic. Iste in explicabo culpa.
Minima dolorum veniam ex. Accusamus debitis quae quo.
Sint fugit ratione asperiores reprehenderit. Quisquam in alias nemo fugiat. Minima minus asperiores.",2025-04-01,2025-07-09,기술,"Aliquid accusamus rerum laudantium recusandae quidem ut.
Alias commodi vero atque doloremque error omnis quis.",Doloribus exercitationem accusantium minima. Perspiciatis amet exercitationem aliquid a nulla sit. Tempore omnis modi tenetur.,2026-05-16,https://img.example.com/thumb_23.jpg
32,32,"Ullam rerum illum ex molestias. Necessitatibus labore perspiciatis fuga placeat ipsam saepe laboriosam.
Accusamus quibusdam illum eveniet iure. Maiores blanditiis inventore vero odio non eveniet beatae. Tempora quos tempora eos officiis quia doloremque.
Soluta nobis dignissimos sequi inventore ipsum velit dolorum. Beatae animi minus vitae corrupti. Inventore pariatur eaque voluptatem.",2025-05-01,2025-07-22,기술,Magnam qui accusamus quidem omnis veniam. Modi mollitia quam fugit. Consequuntur perspiciatis dicta beatae consequatur natus ullam. Cumque minima magnam praesentium laborum ad iure recusandae.,Ipsum omnis earum sint placeat earum. Animi perspiciatis esse doloribus amet iusto numquam. Aliquid qui molestias qui.,2025-08-21,https://img.example.com/thumb_32.jpg
19,19,"Sunt consectetur distinctio molestias facere. Quae quis optio quos beatae id itaque ipsam.
A deleniti quo inventore quibusdam tenetur. Aut nobis sapiente consequuntur. Distinctio sit accusantium natus molestias qui.
Molestias quam culpa id quis. In vitae similique laudantium saepe saepe. Commodi nesciunt maiores quibusdam quas.
Dolores dolorum impedit. Tempore beatae velit odio recusandae quia. Voluptate odio blanditiis eaque placeat laudantium tempore.",2025-03-16,2025-06-07,기타,"Iure labore sunt impedit optio facere.
Dignissimos assumenda soluta sunt nisi quaerat soluta beatae. Nesciunt incidunt ut earum eveniet placeat. Dignissimos magnam autem fugiat ducimus in.","Magnam est ab laudantium. Ullam vel voluptatibus repellat. Ex fuga voluptatum occaecati.
Voluptatum saepe recusandae aut rerum adipisci perferendis. Quibusdam fugiat sit neque occaecati.",2026-02-19,https://img.example.com/thumb_19.jpg
29,29,"Magni corrupti temporibus voluptate quibusdam eos quam alias. Velit beatae soluta sint enim ullam. Consequuntur eius porro.
Earum veniam alias quas. Eligendi recusandae rem voluptates tempora ducimus. Earum doloremque aperiam quidem veritatis incidunt.
Atque nisi reiciendis harum. Tempore maxime dolore reiciendis. Velit quaerat iusto sint dolores laudantium commodi esse.
Quasi doloremque libero esse perspiciatis. Veniam expedita asperiores quo quisquam similique officiis.",2025-03-18,2025-06-08,게임,Quis earum quisquam in laborum velit. Magni culpa magni dolores impedit. Culpa voluptatum perferendis consectetur sit magnam.,"Rerum porro ipsum quae. Repellendus officia quo sit alias. Ut repudiandae maiores itaque asperiores saepe.
Aliquam eum officia nemo. Et hic harum modi laboriosam.",2026-01-27,https://img.example.com/thumb_29.jpg
11,11,"Exercitationem accusantium sed praesentium. Debitis perspiciatis ipsa corrupti quisquam consequuntur ab. Ex repellendus error alias labore velit.
Iure officiis error sequi et quisquam. Optio adipisci ad quod recusandae culpa laboriosam mollitia.
Nesciunt non debitis itaque sequi. Et iste unde a animi iusto molestiae neque. Inventore dignissimos atque veniam reiciendis consequuntur.
Pariatur incidunt doloribus. Autem atque quo assumenda eius omnis. Error quo hic neque amet ab.",2025-03-19,2025-08-08,게임,"Dolores nesciunt placeat. Temporibus similique sequi officiis.
Ipsa perferendis quisquam aliquam quibusdam sit. Voluptatum veniam cum id.",Soluta placeat doloremque incidunt fugiat minima iure. Dolorem sequi quidem. Dicta excepturi accusantium voluptate repellendus accusamus.,2025-07-02,https://img.example.com/thumb_11.jpg
71,71,"Consequuntur illo at corrupti dolorum odit repellendus. Voluptates labore nemo sapiente saepe praesentium.
Harum porro harum dolor aspernatur deleniti. Quis blanditiis sit repudiandae et. Soluta quidem temporibus ipsa sunt. Aspernatur asperiores dolores voluptatibus eaque eveniet illo.
Possimus suscipit iusto. Totam soluta quibusdam eligendi facilis optio minima.
Quam rerum quisquam sint. Unde architecto ullam odit beatae aliquam voluptates.",2025-05-06,2025-07-21,기타,"A nam sunt nulla. Placeat facilis quas iure. Alias autem aperiam adipisci.
Odit fugit animi earum. Explicabo soluta nam velit atque. Alias alias molestiae aut.","Est veniam fugiat aspernatur. Dolor cum recusandae dicta repudiandae cum.
Laboriosam a et. Delectus dolorum doloremque in id beatae. Ipsum ducimus perspiciatis ratione accusamus harum.",2025-08-25,https://img.example.com/thumb_71.jpg
5,5,"Officiis possimus earum possimus aspernatur ab. Porro labore quisquam quisquam pariatur. Nemo repellendus nisi natus aliquid. Qui autem error quasi ullam eligendi quia.
Et molestias quam culpa a. Corrupti inventore possimus eligendi. Quisquam aperiam vitae.
Temporibus et et ratione at.
Omnis ut aspernatur impedit. Perferendis eum similique autem a laudantium voluptatum. Odio ducimus optio soluta excepturi quas.",2025-05-21,2025-07-31,게임,"A earum officia nemo quibusdam voluptatum quisquam. Fugit numquam quaerat doloremque non.
Dolor animi pariatur. Repellendus repellendus odio dolore eveniet dolor reiciendis nam.",Non libero sed rem. Quidem quidem a.,2026-05-06,https://img.example.com/thumb_5.jpg
13,13,"Reprehenderit qui aspernatur explicabo maiores minus distinctio. Distinctio maxime sequi porro omnis.
Dolorum id veniam nihil quasi blanditiis. Explicabo reiciendis reprehenderit perspiciatis provident sunt quisquam dolores.
Officiis quidem error repellat accusamus debitis magni et. Nisi libero iusto voluptate dolore beatae. Ducimus ea perferendis.
Quibusdam dignissimos ea corrupti. Animi voluptatum ratione nemo.",2025-04-18,2025-08-13,푸드,"Sed explicabo totam voluptatum nisi quisquam facilis velit. Totam ut sint repellat suscipit ipsum pariatur.
Magni ipsam placeat a occaecati. Ipsa nulla assumenda similique.","Commodi ipsa fugiat itaque. Numquam voluptatum quasi a.
Nobis tempore provident aliquid delectus quo. Alias ab repellendus reprehenderit facere ipsam.",2025-11-10,https://img.example.com/thumb_13.jpg
