transaction_id,user_id,stock_code,stock_name,transaction_type,price,transaction_date
1,2,005930,삼성바이오로직스,매수,228166,2025-02-21 07:24:06.857763
2,49,005380,SK하이닉스,매도,388292,2025-01-17 10:24:59.686928
3,14,005930,현대차,매도,341670,2024-12-17 07:41:10.768967
4,18,000660,SK하이닉스,매도,117501,2024-12-02 02:36:40.976274
5,1,005930,삼성전자,매수,14037,2024-12-05 09:41:38.417798
6,21,005930,삼성바이오로직스,매수,254627,2024-12-14 21:19:58.793726
7,30,005930,SK하이닉스,매수,406171,2025-05-15 01:50:48.008857
8,28,035420,NAVER,매도,126770,2025-02-15 03:16:32.083216
9,4,000660,현대차,매도,197373,2025-02-26 04:16:56.156330
10,2,000660,현대차,매도,353301,2025-05-14 22:38:22.527454
11,37,207940,삼성전자,매수,114866,2025-05-15 00:22:08.202894
12,16,035420,삼성전자,매수,407842,2025-05-19 08:47:11.247634
13,8,005380,현대차,매수,198317,2024-12-14 14:04:56.611255
14,5,035420,삼성바이오로직스,매도,402234,2025-05-31 02:34:45.779950
15,27,035420,삼성바이오로직스,매수,244801,2025-04-12 16:20:05.034652
16,41,207940,삼성바이오로직스,매도,96812,2025-01-19 19:21:32.390102
17,19,207940,NAVER,매수,336041,2025-05-25 06:07:29.539263
18,18,005380,현대차,매수,485894,2025-04-19 04:23:00.551744
19,30,035420,현대차,매수,124430,2025-04-07 02:44:12.095245
20,45,005930,삼성바이오로직스,매도,105733,2025-01-25 07:57:16.126724
21,39,207940,SK하이닉스,매수,278081,2025-02-05 12:24:14.115212
22,12,035420,삼성전자,매도,96354,2025-03-23 23:02:30.712585
23,38,005380,삼성바이오로직스,매수,453861,2025-05-20 06:17:15.030755
24,36,207940,SK하이닉스,매도,42558,2025-02-12 16:35:12.355951
25,23,035420,현대차,매수,337311,2025-01-19 01:10:47.623063
26,39,000660,SK하이닉스,매도,291197,2025-03-31 22:46:15.341320
27,38,005930,삼성전자,매도,419415,2025-03-13 10:38:30.458240
28,5,005380,현대차,매수,276650,2024-12-21 04:22:48.338627
29,37,207940,삼성전자,매수,47616,2025-04-08 12:24:33.855804
30,41,035420,삼성바이오로직스,매도,43263,2025-05-13 23:45:18.695100
31,42,207940,NAVER,매도,159372,2025-05-01 01:23:25.372254
32,49,000660,삼성바이오로직스,매도,390618,2025-02-25 14:23:18.419309
33,12,005930,SK하이닉스,매도,442014,2025-03-23 15:49:23.883221
34,50,035420,NAVER,매도,62118,2025-05-22 18:14:41.485515
35,42,005930,SK하이닉스,매수,48859,2025-01-03 22:52:37.759365
36,1,035420,삼성바이오로직스,매도,443837,2025-03-16 20:57:56.481527
37,41,000660,삼성전자,매도,35718,2025-05-06 23:35:47.979168
38,37,005380,삼성전자,매수,251246,2024-12-23 18:28:15.647848
39,30,005930,NAVER,매도,298885,2025-03-23 14:52:08.738023
40,17,035420,삼성전자,매수,460138,2025-02-16 10:08:21.638764
41,4,207940,현대차,매도,140906,2025-01-20 08:12:25.469481
42,47,207940,삼성바이오로직스,매수,131902,2025-04-17 05:09:05.402716
43,16,005380,SK하이닉스,매도,268240,2025-05-12 19:54:24.154068
44,21,005930,NAVER,매도,400421,2025-04-13 01:38:59.952430
45,44,005380,SK하이닉스,매도,490304,2025-04-17 23:30:40.200584
46,6,207940,NAVER,매수,144214,2025-03-27 15:42:08.498358
47,41,035420,현대차,매도,303787,2024-12-25 17:04:25.447664
48,42,005380,현대차,매도,163981,2024-12-19 23:48:06.836482
49,47,207940,현대차,매수,413913,2025-04-30 12:02:00.097816
50,15,000660,삼성전자,매수,294823,2025-01-12 08:42:02.014420
51,20,005930,삼성전자,매수,149940,2024-12-02 09:28:13.979436
52,13,000660,삼성전자,매수,96057,2025-05-23 19:12:56.415824
53,7,005380,삼성바이오로직스,매도,256265,2025-01-13 02:43:50.157882
54,42,035420,삼성바이오로직스,매도,101545,2025-03-16 18:48:01.444576
55,27,005930,NAVER,매도,218260,2025-02-17 23:39:54.691513
56,17,035420,SK하이닉스,매도,333411,2025-02-21 14:55:08.919224
57,47,000660,SK하이닉스,매도,165037,2025-01-29 21:48:37.015560
58,37,000660,현대차,매수,49278,2024-12-19 14:42:15.249498
59,49,005930,SK하이닉스,매도,312734,2025-03-29 08:56:52.246166
60,38,005380,삼성전자,매도,155866,2025-04-12 19:30:07.628496
61,38,207940,SK하이닉스,매수,330782,2024-12-08 08:56:09.301521
62,35,207940,SK하이닉스,매도,260464,2025-05-15 20:56:35.959927
63,8,005380,현대차,매도,192036,2025-03-04 14:43:05.036149
64,20,035420,NAVER,매수,281607,2025-01-21 18:13:25.141149
65,2,207940,SK하이닉스,매수,272794,2025-02-16 05:42:32.517931
66,27,005380,삼성전자,매도,111867,2025-01-08 10:05:38.978890
67,46,035420,삼성전자,매수,450593,2025-01-01 08:36:11.431666
68,31,005380,현대차,매수,265204,2025-02-07 21:40:11.619760
69,33,000660,NAVER,매도,401712,2024-12-14 09:04:43.367182
70,23,005380,NAVER,매수,258796,2025-04-13 17:17:49.619857
71,46,005930,삼성바이오로직스,매도,254318,2025-01-19 21:58:33.664586
72,17,035420,현대차,매수,151851,2025-01-22 08:42:37.282093
73,16,005930,삼성전자,매도,249469,2025-01-03 01:33:55.467122
74,30,005930,현대차,매수,423879,2025-04-07 13:27:17.676163
75,2,005930,SK하이닉스,매수,304655,2025-03-05 00:13:47.346707
76,3,207940,NAVER,매수,433028,2025-05-07 02:49:35.972015
77,4,035420,NAVER,매수,62015,2024-12-29 07:37:20.451319
78,38,035420,SK하이닉스,매도,24028,2025-02-18 14:06:25.853420
79,3,035420,SK하이닉스,매수,478338,2025-03-01 18:40:56.430633
80,8,005380,삼성바이오로직스,매도,490951,2025-01-31 16:40:41.116784
81,25,005380,NAVER,매도,475639,2025-03-27 01:40:31.578956
82,18,035420,삼성전자,매수,23583,2025-04-01 13:13:43.824851
83,14,005380,삼성바이오로직스,매수,172837,2025-03-02 10:22:36.654688
84,13,005930,NAVER,매수,337265,2025-05-07 14:02:47.225364
85,12,035420,SK하이닉스,매도,71411,2025-05-17 14:29:25.179892
86,8,005380,삼성바이오로직스,매수,495122,2025-05-09 23:08:27.007132
87,14,000660,삼성전자,매도,415632,2024-12-31 22:37:51.882114
88,44,207940,NAVER,매수,321015,2025-04-04 23:58:16.325090
89,7,000660,삼성바이오로직스,매도,96857,2024-12-16 04:20:02.730464
90,21,000660,삼성전자,매수,314663,2025-02-18 02:26:38.445797
91,28,005930,현대차,매수,492641,2025-04-20 15:37:19.427268
92,39,000660,삼성전자,매수,160228,2025-02-14 08:07:16.062940
93,17,035420,현대차,매수,458890,2025-02-24 21:57:36.193522
94,24,035420,현대차,매수,480674,2025-01-24 07:01:00.205240
95,18,207940,SK하이닉스,매수,337705,2024-12-06 16:41:13.383674
96,21,000660,SK하이닉스,매수,337253,2025-05-16 22:14:33.081100
97,23,005930,현대차,매도,332516,2025-01-18 15:18:11.133834
98,4,207940,삼성바이오로직스,매도,27365,2025-03-07 12:03:47.455860
99,21,000660,SK하이닉스,매도,476692,2025-02-26 08:29:25.591895
100,31,207940,NAVER,매수,308575,2025-04-15 04:12:54.298718
101,8,000660,현대차,매도,164615,2025-03-13 14:14:44.388927
