analytics_id,livestock_mkt,monthly_avg_price,supply_stability,demand_trend,competition_level,quality_rating
1,1,19081,보통,유지,보통,4
2,2,18606,보통,상승,낮음,4
3,3,15163,보통,유지,보통,5
4,4,21617,안정,유지,높음,4
5,5,17794,불안정,상승,보통,4
6,6,19878,안정,상승,보통,5
7,7,21281,안정,유지,높음,5
8,8,21658,안정,하락,낮음,4
9,9,20476,불안정,하락,낮음,3
10,10,21941,안정,유지,높음,4
11,11,18565,안정,하락,높음,3
12,12,19206,불안정,유지,높음,5
13,13,17551,보통,유지,보통,3
14,14,17953,안정,유지,보통,5
15,15,22293,보통,상승,낮음,3
16,16,17620,불안정,하락,보통,3
17,17,20821,안정,하락,낮음,4
18,18,22736,불안정,상승,높음,4
19,19,17494,불안정,유지,높음,3
20,20,18245,안정,하락,낮음,3
21,21,20583,보통,하락,낮음,3
22,22,22633,불안정,유지,보통,5
23,23,21637,안정,하락,보통,5
24,24,24326,보통,상승,낮음,5
25,25,24026,불안정,유지,보통,4
26,26,24289,보통,하락,낮음,4
27,27,15590,불안정,하락,높음,3
28,28,17461,불안정,유지,보통,5
29,29,19914,불안정,유지,낮음,3
30,30,15078,안정,유지,낮음,3
31,31,20055,보통,상승,보통,4
32,32,23366,보통,유지,보통,5
33,33,24930,안정,하락,높음,4
34,34,16785,불안정,하락,높음,3
35,35,24513,불안정,유지,보통,3
36,36,16532,불안정,하락,높음,5
37,37,19472,안정,유지,낮음,3
38,38,23107,안정,상승,낮음,4
39,39,21040,불안정,유지,낮음,3
40,40,17348,안정,유지,보통,3
41,41,24589,불안정,하락,높음,3
42,42,23647,보통,유지,높음,5
43,43,21621,안정,하락,높음,5
44,44,16127,안정,유지,높음,4
45,45,19831,안정,하락,높음,5
46,46,15600,안정,유지,낮음,4
47,47,17132,불안정,유지,높음,5
48,48,22719,안정,하락,높음,4
49,49,19459,불안정,유지,보통,4
50,50,24436,불안정,상승,낮음,4
