price_id,livestock_mkt,product_type,price_per_kg,season,disease_outbreak,currency_rate,predicted_price,accuracy_score
1,14,소고기,32107,여름,False,1102.74,13594,0.914
2,49,오리고기,11654,여름,False,1251.72,17867,0.838
3,18,돼지고기,12736,봄,False,1211.96,24222,0.928
4,3,닭고기,18839,여름,False,1285.35,27220,0.885
5,38,닭고기,21657,가을,False,1300.03,11789,0.805
6,14,닭고기,29725,겨울,False,1284.96,23030,0.78
7,7,오리고기,33489,가을,False,1244.96,24291,0.804
8,37,돼지고기,27674,봄,False,1246.36,10675,0.88
9,13,닭고기,15005,겨울,False,1101.98,22872,0.768
10,41,양고기,13973,겨울,False,1265.49,27869,0.719
11,27,닭고기,22410,겨울,False,1103.56,24076,0.793
12,34,돼지고기,21007,여름,False,1258.83,28691,0.826
13,18,양고기,12988,봄,False,1182.42,33380,0.925
14,42,양고기,29948,여름,False,1393.24,16934,0.745
15,19,양고기,27146,여름,False,1105.14,24703,0.901
16,48,닭고기,16550,봄,False,1343.95,22401,0.945
17,2,오리고기,12827,여름,False,1302.21,33004,0.939
18,46,돼지고기,32883,겨울,False,1341.85,8736,0.717
19,31,오리고기,17798,가을,True,1372.93,21532,0.816
20,32,양고기,30698,봄,True,1132.1,29544,0.771
21,5,양고기,30970,여름,False,1128.89,25328,0.911
22,14,소고기,9364,겨울,False,1144.67,25486,0.782
23,33,닭고기,24885,가을,False,1157.58,24171,0.838
24,12,소고기,30366,봄,False,1257.94,30986,0.702
25,35,오리고기,33701,가을,False,1344.56,20074,0.75
26,5,오리고기,31861,여름,False,1180.2,31983,0.841
27,8,오리고기,18545,봄,False,1219.07,14095,0.776
28,45,소고기,24686,여름,False,1211.92,15958,0.856
29,28,돼지고기,25861,겨울,False,1221.81,24619,0.816
30,47,오리고기,9052,여름,False,1269.5,27273,0.848
31,21,닭고기,28941,여름,False,1397.07,29383,0.823
32,12,소고기,23778,봄,False,1167.76,11923,0.893
33,45,오리고기,28361,여름,False,1305.21,13234,0.749
34,14,닭고기,32743,가을,False,1354.36,16299,0.925
35,39,닭고기,31659,겨울,False,1296.12,10664,0.89
36,45,돼지고기,18992,봄,False,1357.47,15562,0.761
37,32,양고기,18172,봄,False,1327.88,11488,0.702
38,47,돼지고기,34046,봄,True,1128.05,10037,0.803
39,28,돼지고기,18713,봄,True,1213.78,15767,0.758
40,12,오리고기,23961,여름,False,1265.81,25576,0.787
41,49,양고기,29513,여름,False,1116.83,15931,0.91
42,43,닭고기,12991,봄,False,1102.84,14819,0.919
43,48,오리고기,19247,겨울,False,1151.42,12054,0.938
44,26,소고기,8644,가을,False,1249.96,8922,0.7
45,6,양고기,24396,가을,False,1230.17,29470,0.864
46,45,닭고기,31755,겨울,False,1335.31,33017,0.912
47,21,오리고기,21107,겨울,True,1269.76,13266,0.882
48,7,닭고기,14868,봄,False,1357.39,22644,0.726
49,4,소고기,23936,가을,False,1128.61,23211,0.832
50,16,돼지고기,28910,여름,False,1258.45,17826,0.76
51,49,닭고기,22386,여름,False,1112.77,14983,0.823
52,40,양고기,12452,여름,False,1163.43,22484,0.715
53,12,돼지고기,10553,겨울,False,1360.44,10413,0.949
54,8,돼지고기,28950,봄,False,1366.27,10857,0.878
55,31,돼지고기,30335,겨울,False,1242.65,14442,0.723
56,48,양고기,13574,가을,False,1113.97,16104,0.93
57,44,양고기,23609,겨울,False,1122.3,9008,0.924
58,35,소고기,27724,여름,False,1377.68,27858,0.83
59,34,소고기,11589,가을,False,1369.79,12553,0.875
60,41,닭고기,30669,겨울,False,1269.05,32593,0.793
61,16,돼지고기,12270,겨울,False,1109.87,16742,0.944
62,34,소고기,13933,겨울,False,1378.63,20004,0.721
63,29,닭고기,12260,여름,False,1194.35,16409,0.724
64,4,닭고기,29965,여름,False,1388.44,18210,0.733
65,3,돼지고기,10523,여름,False,1276.11,9275,0.905
66,49,양고기,15475,봄,False,1325.68,30386,0.719
67,36,돼지고기,9115,여름,False,1313.81,16775,0.842
68,42,양고기,30289,봄,False,1219.49,16976,0.809
69,29,돼지고기,31654,여름,True,1123.08,29073,0.941
70,33,오리고기,24819,여름,False,1148.74,8833,0.759
71,13,소고기,13815,봄,False,1172.14,11816,0.765
72,39,돼지고기,31126,봄,False,1350.4,20425,0.779
73,18,소고기,32654,가을,False,1216.75,9133,0.9
74,46,닭고기,17103,겨울,False,1368.96,11647,0.875
75,12,오리고기,18572,겨울,False,1199.52,21952,0.884
76,25,돼지고기,34698,여름,False,1326.68,9875,0.78
77,36,소고기,23377,여름,False,1141.99,14713,0.768
78,19,닭고기,26495,여름,False,1396.54,27649,0.719
79,22,돼지고기,8653,가을,False,1317.25,14210,0.751
80,33,소고기,30600,가을,False,1250.24,18634,0.895
81,31,양고기,23353,가을,False,1392.3,18959,0.846
82,19,오리고기,13596,가을,False,1116.11,11251,0.739
83,4,양고기,16066,가을,False,1231.13,26272,0.741
84,12,닭고기,10222,겨울,False,1351.6,25541,0.817
85,26,오리고기,18790,봄,False,1202.18,18211,0.802
86,1,닭고기,9620,가을,False,1330.7,27845,0.834
87,31,오리고기,30405,겨울,False,1386.46,32219,0.941
88,29,돼지고기,27947,봄,False,1219.01,8604,0.752
89,23,양고기,17453,겨울,False,1332.07,15518,0.777
90,9,소고기,27111,여름,False,1108.89,28458,0.766
91,4,돼지고기,10505,가을,False,1182.0,15003,0.73
92,3,오리고기,28389,가을,False,1397.78,28962,0.739
93,18,오리고기,24925,가을,False,1247.18,28925,0.872
94,18,소고기,17440,가을,False,1206.74,32584,0.907
95,44,소고기,23206,가을,False,1382.34,9764,0.874
96,43,오리고기,13774,여름,False,1229.55,26882,0.71
97,36,돼지고기,17815,여름,False,1303.91,20556,0.909
98,11,닭고기,18479,가을,False,1298.2,20383,0.782
99,15,돼지고기,25538,여름,False,1125.71,26719,0.723
100,1,소고기,24354,겨울,False,1285.58,11286,0.762
101,4,소고기,22978,여름,False,1339.42,15713,0.789
102,6,닭고기,16991,여름,False,1313.93,14184,0.828
103,6,양고기,26050,가을,False,1124.61,16113,0.869
104,49,돼지고기,23994,가을,False,1146.27,34324,0.765
105,45,돼지고기,31874,겨울,False,1313.5,14198,0.948
106,22,소고기,11404,봄,False,1290.17,23267,0.708
107,5,오리고기,9411,여름,False,1321.9,30937,0.801
108,9,소고기,22197,겨울,False,1195.0,23936,0.813
109,21,돼지고기,26235,봄,False,1131.97,31103,0.887
110,40,돼지고기,32076,겨울,False,1101.56,16091,0.762
111,27,닭고기,33758,가을,False,1192.48,20282,0.816
112,23,돼지고기,8575,겨울,False,1207.98,22836,0.901
113,22,양고기,22045,봄,False,1180.93,30791,0.735
114,30,돼지고기,21829,가을,False,1139.75,33646,0.703
115,19,오리고기,29547,가을,False,1156.22,33180,0.908
116,47,소고기,11199,봄,False,1234.65,13375,0.946
117,50,소고기,24556,봄,False,1266.42,14828,0.733
118,6,양고기,13786,겨울,False,1222.41,34878,0.906
119,47,오리고기,9724,봄,False,1107.88,20741,0.793
120,47,닭고기,29510,가을,False,1206.17,26784,0.858
121,47,양고기,25852,겨울,False,1127.92,17450,0.861
122,39,소고기,13871,가을,False,1279.41,14727,0.846
123,43,소고기,31903,여름,False,1197.33,24688,0.765
124,49,오리고기,9544,가을,False,1215.57,28174,0.903
125,9,소고기,24175,여름,False,1187.55,10929,0.705
126,18,오리고기,31734,겨울,False,1216.34,11576,0.716
127,47,소고기,16070,여름,False,1125.41,17627,0.926
128,39,돼지고기,9208,가을,False,1370.34,10134,0.811
129,14,오리고기,21558,봄,False,1371.56,28782,0.732
130,5,양고기,15208,봄,False,1393.45,28530,0.926
131,1,돼지고기,23276,겨울,False,1271.59,11614,0.907
132,23,양고기,11378,가을,False,1150.87,24667,0.783
133,1,소고기,32290,겨울,True,1214.22,34287,0.711
134,47,양고기,21795,여름,False,1141.65,16832,0.815
135,28,소고기,30843,봄,False,1190.34,12597,0.742
136,49,소고기,18563,겨울,False,1247.94,32812,0.843
137,25,소고기,8340,가을,False,1118.98,23155,0.905
138,32,오리고기,22465,겨울,False,1230.4,34678,0.799
