price_id,livestock_mkt,record_date,product_type,grade,part,price_per_kg,supply_volume,season,disease_outbreak,currency_rate,predicted_price
1,14,2024-05-02,소고기,특등급,목살,32107,1644,여름,False,1102.74,13594
2,49,2024-02-01,오리고기,등외급,등심,11654,292,여름,False,1251.72,17867
3,18,2024-06-17,돼지고기,3등급,앞다리,12736,4235,봄,False,1211.96,24222
4,3,2024-06-16,닭고기,2등급,갈비,18839,4859,여름,False,1285.35,27220
5,38,2025-01-23,닭고기,특등급,앞다리,21657,1820,가을,False,1300.03,11789
6,14,2024-01-13,닭고기,특등급,갈비,29725,218,겨울,False,1284.96,23030
7,7,2025-02-27,오리고기,3등급,안심,33489,1288,가을,False,1244.96,24291
8,37,2024-06-11,돼지고기,3등급,갈비,27674,2714,봄,False,1246.36,10675
9,13,2024-10-13,닭고기,특등급,안심,15005,3263,겨울,False,1101.98,22872
10,41,2024-02-26,양고기,등외급,등심,13973,3852,겨울,False,1265.49,27869
11,27,2023-09-04,닭고기,1등급,앞다리,22410,1432,겨울,False,1103.56,24076
12,34,2023-12-09,돼지고기,2등급,앞다리,21007,1901,여름,False,1258.83,28691
13,18,2023-06-22,양고기,특등급,삼겹살,12988,2556,봄,False,1182.42,33380
14,42,2024-04-27,양고기,3등급,안심,29948,2428,여름,False,1393.24,16934
15,19,2024-01-25,양고기,2등급,안심,27146,328,여름,False,1105.14,24703
16,48,2023-07-18,닭고기,2등급,목살,16550,561,봄,False,1343.95,22401
17,2,2024-12-16,오리고기,2등급,삼겹살,12827,4651,여름,False,1302.21,33004
18,46,2024-08-04,돼지고기,2등급,갈비,32883,4401,겨울,False,1341.85,8736
19,31,2024-07-02,오리고기,1등급,목살,17798,4321,가을,True,1372.93,21532
20,32,2024-11-15,양고기,2등급,삼겹살,30698,2783,봄,True,1132.1,29544
21,5,2024-06-17,양고기,특등급,앞다리,30970,1777,여름,False,1128.89,25328
22,14,2024-07-28,소고기,등외급,목살,9364,1722,겨울,False,1144.67,25486
23,33,2023-10-17,닭고기,3등급,목살,24885,2546,가을,False,1157.58,24171
24,12,2025-04-19,소고기,특등급,뒷다리,30366,2524,봄,False,1257.94,30986
25,35,2024-11-17,오리고기,2등급,삼겹살,33701,1958,가을,False,1344.56,20074
26,5,2024-05-09,오리고기,1등급,등심,31861,2663,여름,False,1180.2,31983
27,8,2023-10-11,오리고기,등외급,등심,18545,2151,봄,False,1219.07,14095
28,45,2025-04-01,소고기,3등급,안심,24686,2523,여름,False,1211.92,15958
29,28,2024-04-19,돼지고기,3등급,앞다리,25861,216,겨울,False,1221.81,24619
30,47,2024-06-11,오리고기,2등급,목살,9052,1595,여름,False,1269.5,27273
31,21,2024-12-24,닭고기,3등급,등심,28941,2963,여름,False,1397.07,29383
32,12,2024-11-18,소고기,등외급,삼겹살,23778,3186,봄,False,1167.76,11923
33,45,2025-04-07,오리고기,1등급,앞다리,28361,4964,여름,False,1305.21,13234
34,14,2023-12-20,닭고기,2등급,안심,32743,3618,가을,False,1354.36,16299
35,39,2024-09-07,닭고기,등외급,갈비,31659,106,겨울,False,1296.12,10664
